Date,WindSpeed,WindDirection,WindEnergy
06/07/2016 00:00:00,7.25,90,65032.65
07/07/2016 00:00:00,5.53,349,18825.89
08/07/2016 00:00:00,4.53,322,5358.46
09/07/2016 00:00:00,5.21,355,9916.93
10/07/2016 00:00:00,5.58,269,15219.53
11/07/2016 00:00:00,5.35,288,14262.35
12/07/2016 00:00:00,6.04,313,16168.37
13/07/2016 00:00:00,6.57,34,64810.59
14/07/2016 00:00:00,7.12,66,75602.64
15/07/2016 00:00:00,9.04,77,111598.09
16/07/2016 00:00:00,6.74,85,46772.02
17/07/2016 00:00:00,5.44,96,8706.27
18/07/2016 00:00:00,6.34,105,13855.71
19/07/2016 00:00:00,6.29,238,27102.34
20/07/2016 00:00:00,5.56,274,12775.27
21/07/2016 00:00:00,4.99,281,4171.07
22/07/2016 00:00:00,5.94,327,18467.76
23/07/2016 00:00:00,5.1,26,23775.57
24/07/2016 00:00:00,5.45,56,34290.41
25/07/2016 00:00:00,5.73,63,40792.35
26/07/2016 00:00:00,6.76,47,112656.88
27/07/2016 00:00:00,6.65,32,72936.95
28/07/2016 00:00:00,5.02,44,26065.31
29/07/2016 00:00:00,4.13,57,3771.72
30/07/2016 00:00:00,5.05,24,12821.88
31/07/2016 00:00:00,6.03,12,19677.02
01/08/2016 00:00:00,5.02,33,17258.38
02/08/2016 00:00:00,5.44,359,7721.22
03/08/2016 00:00:00,5.45,285,10184.89
04/08/2016 00:00:00,6.74,279,48689.23
05/08/2016 00:00:00,5.03,44,19944.39
06/08/2016 00:00:00,7.66,65,105867.94
07/08/2016 00:00:00,7.83,62,102636.89
08/08/2016 00:00:00,6.16,57,51808.49
09/08/2016 00:00:00,10.17,41,209348.89
10/08/2016 00:00:00,10.5,50,275404.71
11/08/2016 00:00:00,10.67,69,197693.87
12/08/2016 00:00:00,6.97,74,49173.95
13/08/2016 00:00:00,4.99,129,461.3
14/08/2016 00:00:00,5.59,47,8686.14
15/08/2016 00:00:00,5.63,229,10301.5
16/08/2016 00:00:00,5.46,235,15295.42
17/08/2016 00:00:00,6.56,260,35471.35
18/08/2016 00:00:00,6.07,165,34128.51
19/08/2016 00:00:00,8.17,250,78122.52
20/08/2016 00:00:00,5.96,286,21230.59
21/08/2016 00:00:00,5.37,67,19744.5
22/08/2016 00:00:00,5.65,138,39259.08
23/08/2016 00:00:00,5.29,306,4620.43
24/08/2016 00:00:00,5.1,86,12423.16
25/08/2016 00:00:00,4.55,20,8191.42
26/08/2016 00:00:00,5.14,73,21581.09
27/08/2016 00:00:00,5.75,264,26188.04
28/08/2016 00:00:00,5.13,322,7283.2
29/08/2016 00:00:00,6.56,33,80533.42
30/08/2016 00:00:00,6.65,61,54701.9
31/08/2016 00:00:00,6.39,37,64666.77
01/09/2016 00:00:00,6.15,86,27316.52
02/09/2016 00:00:00,5.37,72,18411.68
03/09/2016 00:00:00,5.55,208,13296.8
04/09/2016 00:00:00,5.56,221,10469.93
05/09/2016 00:00:00,5.06,134,1305.93
06/09/2016 00:00:00,5.57,128,4731.55
07/09/2016 00:00:00,7.42,264,48172.51
08/09/2016 00:00:00,4.76,332,4655.47
09/09/2016 00:00:00,5,274,6847.76
10/09/2016 00:00:00,5,230,10934.25
11/09/2016 00:00:00,4.34,208,4187.68
12/09/2016 00:00:00,7.04,194,54086.45
13/09/2016 00:00:00,7.38,249,58801.77
14/09/2016 00:00:00,10.58,256,177124.23
15/09/2016 00:00:00,10.58,280,172435.33
16/09/2016 00:00:00,5.64,346,19358.11
17/09/2016 00:00:00,5.77,40,54574.79
18/09/2016 00:00:00,5.51,54,42023
19/09/2016 00:00:00,6.06,59,35473.57
20/09/2016 00:00:00,5.95,39,40830.64
21/09/2016 00:00:00,5.23,17,6269.08
22/09/2016 00:00:00,4.65,25,764.82
23/09/2016 00:00:00,4.83,160,6460.59
24/09/2016 00:00:00,8.23,192,87032.98
25/09/2016 00:00:00,5.07,353,11710.95
26/09/2016 00:00:00,5.09,239,9168.95
27/09/2016 00:00:00,5.11,318,10362.41
28/09/2016 00:00:00,6.41,85,44387.56
29/09/2016 00:00:00,6.91,211,24048.6
30/09/2016 00:00:00,5.1,283,2900.67
01/10/2016 00:00:00,5.32,268,9432.9
02/10/2016 00:00:00,4.34,59,142.74
